id,title,upload_date,air_date,era,type,series,episode,url,thumbnail,members,subtitles,duration_sec,description,status,view_count,like_count
episode-038,[EPISODE] j-hope's Year-End Award Shows Sketch - BTS (방탄소년단),2023-04-26,2023-04-26,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=RFZTTTmPUl0,https://img.youtube.com/vi/RFZTTTmPUl0/hqdefault.jpg,J-Hope,,1119,,active,1314220,233751
episode-039,[EPISODE] Agust D ‘해금’ MV & Jacket Shoot Sketch - BTS (방탄소년단),2023-04-23,2023-04-23,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=_SAaJkHYRf4,https://img.youtube.com/vi/_SAaJkHYRf4/hqdefault.jpg,Suga,,558,,active,2098618,339133
episode-040,[EPISODE] Agust D ‘사람 Pt.2 (feat. 아이유)’ MV Shoot Sketch - BTS (방탄소년단),2023-04-08,2023-04-08,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=yrGbD3ADlQc,https://img.youtube.com/vi/yrGbD3ADlQc/hqdefault.jpg,Suga,,382,,active,1468382,247749
episode-041,[EPISODE] 지민 (Jimin) Choreography Practice Sketch - BTS (방탄소년단),2023-04-05,2023-04-05,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=ih4NpgY-fsI,https://img.youtube.com/vi/ih4NpgY-fsI/hqdefault.jpg,Jimin,,1194,,active,3963813,402894
episode-042,[EPISODE] RM ‘Live in New York’ Shoot Sketch - BTS (방탄소년단),2023-04-01,2023-04-01,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=sHqE8Av0GCA,https://img.youtube.com/vi/sHqE8Av0GCA/hqdefault.jpg,RM,,775,,active,1038080,208866
episode-043,[EPISODE] 지민 (Jimin) ‘Like Crazy’ MV Shoot Sketch - BTS (방탄소년단),2023-03-29,2023-03-29,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=ZL8rqmDNQWY,https://img.youtube.com/vi/ZL8rqmDNQWY/hqdefault.jpg,Jimin,,632,,active,1723292,276287
episode-044,[EPISODE] 지민 (Jimin) ‘Set Me Free Pt.2’ MV Shoot Sketch - BTS (방탄소년단),2023-03-21,2023-03-21,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=MnK-Ahuu3uU,https://img.youtube.com/vi/MnK-Ahuu3uU/hqdefault.jpg,Jimin,,692,,active,3199555,467894
episode-045,[EPISODE] 'Smoke Sprite (feat. RM of BTS)' MV Shoot Sketch - BTS (방탄소년단),2023-03-20,2023-03-20,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=2SySurNugT4,https://img.youtube.com/vi/2SySurNugT4/hqdefault.jpg,RM,,379,,active,931483,211269
episode-046,[EPISODE] RM 'Live in Seoul' Concert Sketch - BTS (방탄소년단),2023-03-16,2023-03-16,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=I9e2s24HqPg,https://img.youtube.com/vi/I9e2s24HqPg/hqdefault.jpg,RM,,1270,,active,1101132,209095
episode-047,[EPISODE]  j-hope 'on the street (with J. Cole)' MV Shoot Sketch - BTS (방탄소년단),2023-03-13,2023-03-13,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=BZnZtqpyqLs,https://img.youtube.com/vi/BZnZtqpyqLs/hqdefault.jpg,J-Hope,,813,,active,1676535,275227
episode-048,[EPISODE] 정국 (Jung Kook) FIFA World Cup Qatar 2022 Opening Ceremony Sketch - BTS (방탄소년단),2023-02-12,2023-02-12,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=6Cqe6NR2bzc,https://img.youtube.com/vi/6Cqe6NR2bzc/hqdefault.jpg,Jungkook,,1408,,active,7824822,626070
episode-049,[EPISODE] 진 (Jin) Coldplay Concert Special Performance Sketch - BTS (방탄소년단),2023-02-05,2023-02-05,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=HOLAaK3u_jw,https://img.youtube.com/vi/HOLAaK3u_jw/hqdefault.jpg,Jin,,1133,,active,3388197,385429
episode-050,[EPISODE] ‘VIBE (Feat. Jimin of BTS)’ MV Shoot Sketch - BTS (방탄소년단),2023-01-28,2023-01-28,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=csl60RCYJO8,https://img.youtube.com/vi/csl60RCYJO8/hqdefault.jpg,Jimin,,577,,active,3405334,425415
episode-051,"[EPISODE] BTS (방탄소년단) @ ""Yet To Come"" in BUSAN",2023-01-22,2023-01-22,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=c7wByYDxktE,https://img.youtube.com/vi/c7wByYDxktE/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,2008,,active,13731225,774449
episode-052,[EPISODE] 정국 (Jung Kook) FIFA World Cup 2022 Soundtrack ‘Dreamers’ MV Shoot Sketch - BTS (방탄소년단),2022-12-26,2022-12-26,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=lcR8CBCW1bs,https://img.youtube.com/vi/lcR8CBCW1bs/hqdefault.jpg,Jungkook,,513,,active,11332158,843673
episode-053,[EPISODE] BTS (방탄소년단) @ THE FACT MUSIC AWARDS,2022-12-25,2022-12-25,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=S1ZdFMz0RSw,https://img.youtube.com/vi/S1ZdFMz0RSw/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,852,,active,4424577,470493
episode-054,[EPISODE] RM ‘Still Life (with Anderson .Paak)’ MV Shoot Sketch - BTS (방탄소년단),2022-12-11,2022-12-11,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=lPRLgAMro8k,https://img.youtube.com/vi/lPRLgAMro8k/hqdefault.jpg,RM,,809,,active,859589,184972
episode-055,[EPISODE] RM ‘들꽃놀이 (with 조유진)’ MV Shoot Sketch - BTS (방탄소년단),2022-12-08,2022-12-08,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=q6AE2RC9tCA,https://img.youtube.com/vi/q6AE2RC9tCA/hqdefault.jpg,RM,,853,,active,2165303,284844
episode-056,[EPISODE] RM ‘Indigo’ Jacket Shoot Sketch - BTS (방탄소년단),2022-12-03,2022-12-03,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=HMKRi6REhSw,https://img.youtube.com/vi/HMKRi6REhSw/hqdefault.jpg,RM,,408,,active,959099,255861
episode-057,[EPISODE] j-hope @ Lollapalooza 2022 - BTS (방탄소년단),2022-11-26,2022-11-26,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=Wmm_UJPf_Zo,https://img.youtube.com/vi/Wmm_UJPf_Zo/hqdefault.jpg,J-Hope,,1366,,active,2943176,442868
episode-058,[EPISODE] 진 (Jin) 'The Astronaut' MV Shoot Sketch - BTS (방탄소년단),2022-11-07,2022-11-07,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=0BZKOnSs2oo,https://img.youtube.com/vi/0BZKOnSs2oo/hqdefault.jpg,Jin,,813,,active,3487958,449310
episode-059,[EPISODE] 진 (Jin) 'The Astronaut' Jacket Shoot Sketch - BTS (방탄소년단),2022-11-06,2022-11-06,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=eA13wUVdTkA,https://img.youtube.com/vi/eA13wUVdTkA/hqdefault.jpg,Jin,,381,,active,1733322,343458
episode-060,[EPISODE] 'Rush Hour (Feat. j-hope of BTS)’ MV Shoot Sketch - BTS (방탄소년단),2022-10-12,2022-10-12,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=5nMNsQTyOMk,https://img.youtube.com/vi/5nMNsQTyOMk/hqdefault.jpg,J-Hope,,345,,active,1515379,297415
episode-061,[EPISODE] BTS (방탄소년단) Visited the White House to Discuss Anti-Asian Hate Crimes,2022-10-05,2022-10-05,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=xjfw_fNRfds,https://img.youtube.com/vi/xjfw_fNRfds/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,923,,active,6087038,597700
episode-062,[EPISODE] BTS (방탄소년단) 'Proof' Music Show Promotions Sketch,2022-09-17,2022-09-17,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=r45lTgTHsjM,https://img.youtube.com/vi/r45lTgTHsjM/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,1277,,active,7319533,707122
episode-063,[EPISODE] ‘SEXY NUKIM (feat. RM of BTS)’ MV Shoot Sketch - BTS (방탄소년단),2022-09-14,2022-09-14,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=CEg7phnkAZI,https://img.youtube.com/vi/CEg7phnkAZI/hqdefault.jpg,RM,,269,,active,2906649,524132
episode-064,[EPISODE] BTS (방탄소년단) ‘Bad Decisions’ Recording Sketch,2022-08-16,2022-08-16,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=TaP7GOBhoJc,https://img.youtube.com/vi/TaP7GOBhoJc/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,386,,active,6355995,812707
episode-065,[EPISODE] j-hope 'Jack In The Box' Album Cover Shoot Sketch - BTS (방탄소년단),2022-08-09,2022-08-09,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=bi0xWtGGzes,https://img.youtube.com/vi/bi0xWtGGzes/hqdefault.jpg,J-Hope,,238,,active,1545841,330367
episode-066,[EPISODE] j-hope ‘방화 (Arson)’ MV Shoot Sketch - BTS (방탄소년단),2022-07-17,2022-07-17,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=gRkldMZ6NC0,https://img.youtube.com/vi/gRkldMZ6NC0/hqdefault.jpg,J-Hope,,643,,active,1858391,397378
episode-067,[EPISODE] j-hope ‘MORE’ MV Shoot Sketch - BTS (방탄소년단),2022-07-06,2022-07-06,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=jl8GHkEguXE,https://img.youtube.com/vi/jl8GHkEguXE/hqdefault.jpg,J-Hope,,846,,active,3782638,709735
episode-068,[EPISODE] 'Left and Right (Feat. Jung Kook of BTS)' Recording Sketch - BTS (방탄소년단),2022-07-05,2022-07-05,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=MF8pb6KC2-4,https://img.youtube.com/vi/MF8pb6KC2-4/hqdefault.jpg,Jungkook,,498,,active,7554308,1064993
episode-069,[EPISODE] BTS (방탄소년단) @ 64th GRAMMY Awards,2022-07-04,2022-07-04,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=Hr1OSHf3S2Q,https://img.youtube.com/vi/Hr1OSHf3S2Q/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,1797,,active,12661759,850560
episode-070,[EPISODE] BTS (방탄소년단) ‘Yet To Come (The Most Beautiful Moment)’ MV Shoot Sketch,2022-06-18,2022-06-18,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=5eFOa2hKRwM,https://img.youtube.com/vi/5eFOa2hKRwM/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,736,,active,4643951,735602
episode-071,[EPISODE] BTS (방탄소년단) 2022 FESTA Family Portrait Shoot #2022BTSFESTA,2022-06-09,2022-06-09,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=8B_xhaxSjWc,https://img.youtube.com/vi/8B_xhaxSjWc/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,517,,active,5641374,861025
episode-072,[EPISODE] BTS (방탄소년단) Coldplay X BTS ‘My Universe’ MV Shoot,2022-05-25,2022-05-25,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=RlMsoIdjCPg,https://img.youtube.com/vi/RlMsoIdjCPg/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,756,,active,5906657,728247
episode-073,[EPISODE] BTS (방탄소년단) @ 'PERMISSION TO DANCE ON STAGE - SEOUL',2022-05-17,2022-05-17,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=BmNX0nH48xU,https://img.youtube.com/vi/BmNX0nH48xU/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,1759,,active,7739184,773330
episode-074,[EPISODE] ‘That That (prod. & ft. SUGA of BTS)’ MV Shoot Sketch - BTS (방탄소년단),2022-05-04,2022-05-04,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=acMC7bTVcY8,https://img.youtube.com/vi/acMC7bTVcY8/hqdefault.jpg,Suga,,458,,active,11934792,1145795
episode-075,[EPISODE] BTS (방탄소년단) @ 2021 iHeartRadio Jingle Ball,2022-02-12,2022-02-12,,BTS Episode,BTS Episode,,https://www.youtube.com/watch?v=qot8a4TnD0c,https://img.youtube.com/vi/qot8a4TnD0c/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,631,,active,4798292,676911
