id,title,upload_date,air_date,era,type,series,episode,url,thumbnail,members,subtitles,duration_sec,description,status,view_count,like_count
dance-047,[CHOREOGRAPHY] BTS (방탄소년단) 'Golden Disk Awards 2018' Dance Practice #2018BTSFESTA,2018-06-05,2018-06-05,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=6tJP3Y0QhV4,https://img.youtube.com/vi/6tJP3Y0QhV4/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,618,,active,19028617,1365171
dance-048,[CHOREOGRAPHY] BTS (방탄소년단) 'FAKE LOVE' Dance Practice,2018-05-27,2018-05-27,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=nQySbNGu4g0,https://img.youtube.com/vi/nQySbNGu4g0/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,242,,active,78921322,2453998
dance-049,[CHOREOGRAPHY] BTS (방탄소년단) 'DNA' Dance Practice,2017-09-24,2017-09-24,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=GEIU_7v40Dw,https://img.youtube.com/vi/GEIU_7v40Dw/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,225,,active,62176292,1793223
dance-050,[CHOREOGRAPHY] BTS (방탄소년단) '좋아요 Part 2' Dance Practice,2017-06-07,2017-06-07,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=u2XBh23upio,https://img.youtube.com/vi/u2XBh23upio/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,234,,active,26727377,1096404
dance-051,[CHOREOGRAPHY] BTS (방탄소년단) 'Not Today' Dance Practice,2017-06-06,2017-06-06,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=_PwYjNh1bww,https://img.youtube.com/vi/_PwYjNh1bww/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,234,,active,21574392,855171
dance-052,[CHOREOGRAPHY] BTS (방탄소년단) '봄날 (Spring Day)' Dance Practice,2017-03-03,2017-03-03,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=_AlODdAInRY,https://img.youtube.com/vi/_AlODdAInRY/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,279,,active,26207429,911754
dance-053,[CHOREOGRAPHY] BTS (방탄소년단) '피 땀 눈물 (Blood Sweat & Tears)' Dance Practice,2016-10-18,2016-10-18,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=v8z1TtlY1no,https://img.youtube.com/vi/v8z1TtlY1no/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,217,,active,76700116,1979094
dance-054,[CHOREOGRAPHY] BTS (방탄소년단) 정국이랑 지민이 ('Own it' choreography by Brian puspose) Dance practice,2016-08-13,2016-08-13,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=HMprwPSFLyU,https://img.youtube.com/vi/HMprwPSFLyU/hqdefault.jpg,Jimin|Jungkook,,200,,active,21331227,1365702
dance-055,[CHOREOGRAPHY] BTS (방탄소년단) j-hope Dance Practice for 2015 Begins Concert,2016-06-04,2016-06-04,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=dj42sqcbnCg,https://img.youtube.com/vi/dj42sqcbnCg/hqdefault.jpg,J-Hope,,62,,active,3832900,255675
dance-056,[CHOREOGRAPHY] BTS (방탄소년단) '불타오르네 (FIRE)' Dance Practice,2016-05-13,2016-05-13,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=sWuYspuN6U8,https://img.youtube.com/vi/sWuYspuN6U8/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,212,,active,74803539,1629071
dance-057,[CHOREOGRAPHY] BTS (방탄소년단) '쩔어' Dance Practice,2015-06-28,2015-06-28,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=NnbIIXNPtPU,https://img.youtube.com/vi/NnbIIXNPtPU/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,242,,active,26128934,760119
dance-058,방탄소년단 STAGE #TOMORROW @ THE RED BULLET IN SEOUL Dress Rehearsal,2015-06-10,2015-06-10,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=neOdZM9WqI0,https://img.youtube.com/vi/neOdZM9WqI0/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,258,,active,2218827,84674
dance-059,방탄소년단-BTS- Special choreography Stage #2. 이불킥(Embarrassed) for 2015 FESTA,2015-06-05,2015-06-05,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=Cvz-50w3IiE,https://img.youtube.com/vi/Cvz-50w3IiE/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,251,,active,14880537,687353
dance-060,[BANGTAN BOMB] '호르몬전쟁' dance performance (Real WAR ver.),2015-06-04,2015-06-04,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=70SMjxn4FBA,https://img.youtube.com/vi/70SMjxn4FBA/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,270,,active,52780066,1565527
dance-061,[CHOREOGRAPHY] BTS (방탄소년단) 'I NEED U' Dance Practice,2015-05-03,2015-05-03,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=hvUZb9NT7EY,https://img.youtube.com/vi/hvUZb9NT7EY/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,214,,active,52148978,1171827
dance-062,BTS (방탄소년단) 가요대제전 Intro performance Trailer,2015-01-09,2015-01-09,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=S1Up-ZzHmuw,https://img.youtube.com/vi/S1Up-ZzHmuw/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,393,,active,8965851,906327
dance-063,Private video,,,,Dance Practice,Dance Practices,,https://www.youtube.com/watch?v=hoTBL39i60M,https://img.youtube.com/vi/hoTBL39i60M/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,,,active,0,0
