id,title,upload_date,air_date,era,type,series,episode,url,thumbnail,members,subtitles,duration_sec,description,status,view_count,like_count
mv-157,BTS (방탄소년단) 'ON' Official MV,2020-02-27,2020-02-27,,MV,MVs,,https://www.youtube.com/watch?v=mPVDGOVjRQ0,https://img.youtube.com/vi/mPVDGOVjRQ0/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,355,,active,352237329,12899344
mv-158,BTS (방탄소년단) 'ON' Kinetic Manifesto Film : Come Prima,2020-02-21,2020-02-21,,MV,MVs,,https://www.youtube.com/watch?v=gwMa6gpoE9I,https://img.youtube.com/vi/gwMa6gpoE9I/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,299,,active,683559596,14957825
mv-159,BTS (방탄소년단) MAP OF THE SOUL : 7 'Outro : Ego' Comeback Trailer,2020-02-02,2020-02-02,,MV,MVs,,https://www.youtube.com/watch?v=LmApDbvNCXg,https://img.youtube.com/vi/LmApDbvNCXg/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,204,,active,160741307,7126703
mv-160,BTS (방탄소년단) 'Black Swan' Art Film performed by MN Dance Company,2020-01-17,2020-01-17,,MV,MVs,,https://www.youtube.com/watch?v=vGbuUFRdYqU,https://img.youtube.com/vi/vGbuUFRdYqU/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,331,,active,45679828,3710714
mv-161,BTS (방탄소년단) MAP OF THE SOUL : 7 'Interlude : Shadow' Comeback Trailer,2020-01-09,2020-01-09,,MV,MVs,,https://www.youtube.com/watch?v=PV1gCvzpSy0,https://img.youtube.com/vi/PV1gCvzpSy0/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,180,,active,127753126,7220388
mv-162,방탄소년단 No More Dream (Bus scene long take ver.),2013-06-23,2013-06-23,,MV,MVs,,https://www.youtube.com/watch?v=CInMhOtzb3U,https://img.youtube.com/vi/CInMhOtzb3U/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,226,,active,2559329,311484
mv-163,"BTS (방탄소년단) O! RUL8,2? Preview",2013-09-08,2013-09-08,,MV,MVs,,https://www.youtube.com/watch?v=BfVt5jRGWCo,https://img.youtube.com/vi/BfVt5jRGWCo/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,156,,active,1321871,138608
mv-164,BTS (방탄소년단) Skool Luv Affair Preview,2014-02-06,2014-02-06,,MV,MVs,,https://www.youtube.com/watch?v=iWCGayIOEGQ,https://img.youtube.com/vi/iWCGayIOEGQ/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,125,,active,1535541,140781
mv-165,BTS (방탄소년단) 가요대제전 Intro performance Trailer,2015-01-09,2015-01-09,,MV,MVs,,https://www.youtube.com/watch?v=S1Up-ZzHmuw,https://img.youtube.com/vi/S1Up-ZzHmuw/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,393,,active,8965851,906327
mv-166,BTS (방탄소년단) 화양연화 pt.1 Preview,2015-04-26,2015-04-26,,MV,MVs,,https://www.youtube.com/watch?v=Smmx-FzT3DQ,https://img.youtube.com/vi/Smmx-FzT3DQ/hqdefault.jpg,RM|Jin|Suga|J-Hope|Jimin|V|Jungkook,,137,,active,2554954,239201
